X,Y,K,U,Th,TC
8500,8200,-1.2,0.47655,-1.00824,183.68938
8550,8200,-1.09132,-0.82654,-0.55193,176.30902
8600,8200,0.83418,-2.23863,-0.05344,180.65318
8650,8200,4.87513,-3.51918,0.59257,204.99304
8700,8200,9.40463,-3.49214,2.07512,255.0407
8750,8200,11.5102,0.27939,3.83961,327.77347
8800,8200,15.25608,4.1961,5.65205,428.58179
8850,8200,19.24834,7.65209,6.33871,528.69111
8900,8200,22.5526,10.97495,5.5945,608.92311
8950,8200,33.92556,13.01533,10.91626,757.02014
9350,8200,40.35683,12.64552,16.28118,868.24265
9400,8200,30.32915,6.50271,10.71464,576.49772
9450,8200,17.41666,0.77796,5.27669,264.6297
9500,8200,7.51607,-3.2478,1.55319,19.89307
9550,8200,4.24014,-2.30258,0.23441,-36.62658
9600,8200,4.09331,1.24127,0.412,3.87959
9650,8200,5.58773,5.36915,0.67817,92.60417
9700,8200,7.49648,8.05563,0.49393,188.22546
9750,8200,8.88459,9.25553,0.7146,258.3149
9800,8200,11.87686,9.55466,2.80476,334.08143
9850,8200,14.3417,11.07905,4.81412,397.33706
9900,8200,15.71294,12.55532,5.7043,427.22116
6600,8150,25.26129,14.62189,8.22448,244.56223
6650,8150,22.13294,12.95784,6.84457,231.54965
6700,8150,18.73429,11.44578,5.47898,224.92514
6750,8150,15.51779,9.71514,4.16147,230.12124
6800,8150,13.10597,7.89963,3.35121,255.80764
6850,8150,13.0588,6.99032,4.09636,318.09159
6900,8150,19.45211,9.28752,8.84614,442.56373
6950,8150,26.14028,11.91496,14.26997,583.96143
7000,8150,29.40046,12.55511,16.94441,703.12413
7050,8150,30.80227,12.33132,17.55105,782.34174
7100,8150,34.40776,13.39078,17.39083,816.64055
7150,8150,33.39795,13.18746,16.63453,784.36526
7200,8150,28.10279,12.17418,15.53588,703.05074
7250,8150,20.67434,11.97154,14.7171,599.91574
7500,8150,28.1992,6.52397,12.64889,648.26993
7550,8150,28.44698,6.52114,10.74301,665.97845
7600,8150,28.33471,6.91523,10.41622,653.05789
7650,8150,26.32932,7.2319,10.57704,610.03108
